co_municipio,no_municipio,sg_uf,categoria,no_regiao_turistica
2706422,Pariconha,AL,Município com oferta turística complementar,REGIÃO CÂNIONS DO SÃO FRANCISCO
2706448,Paripueira,AL,Município com oferta turística complementar,REGIÃO COSTA DOS CORAIS
2706505,Passo de Camaragibe,AL,Município com oferta turística complementar,REGIÃO COSTA DOS CORAIS
2706703,Penedo,AL,Município com oferta turística complementar,REGIÃO CAMINHO DAS ÁGUAS
2706901,Pilar,AL,Município com oferta turística complementar,REGIÃO CAMINHO DAS ÁGUAS
2707107,Piranhas,AL,Município com oferta turística complementar,REGIÃO CÂNIONS DO SÃO FRANCISCO
2707305,Porto Calvo,AL,Município com oferta turística complementar,REGIÃO COSTA DOS CORAIS
2707404,Porto de Pedras,AL,Município com oferta turística complementar,REGIÃO COSTA DOS CORAIS
2707602,Quebrangulo,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2708006,Santana do Ipanema,AL,Município com oferta turística complementar,REGIÃO DA CAATINGA
2708303,São José da Laje,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2708600,São Miguel dos Campos,AL,Município com oferta turística complementar,REGIÃO CAMINHO DAS ÁGUAS
2708709,São Miguel dos Milagres,AL,Município turístico,REGIÃO COSTA DOS CORAIS
2708808,São Sebastião,AL,Município com oferta turística complementar,REGIÃO DO AGRESTE
2709004,Tanque d'Arca,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2709152,Teotônio Vilela,AL,Município com oferta turística complementar,REGIÃO DO AGRESTE
2709301,União dos Palmares,AL,Município com oferta turística complementar,Região Turística Serras e Quilombos
2709400,Viçosa,AL,Município de apoio ao turismo,Região Turística Serras e Quilombos
1300201,Atalaia do Norte,AM,Município de apoio ao turismo,Região Fronteiras do Amazonas
1300409,Barcelos,AM,Município de apoio ao turismo,Região Encantos do Rio Negro
1300508,Barreirinha,AM,Município de apoio ao turismo,Região da Ancestralidade e Ritmos do Amazonas
1300607,Benjamin Constant,AM,Município de apoio ao turismo,Região Fronteiras do Amazonas
1300680,Boa Vista do Ramos,AM,Município de apoio ao turismo,Região da Ancestralidade e Ritmos do Amazonas
1300805,Borba,AM,Município de apoio ao turismo,Região Belezas do Rio Madeira
1300839,Caapiranga,AM,Município de apoio ao turismo,Região Amazonas das Praias e Tradições
1301100,Careiro,AM,Município de apoio ao turismo,Região Rota da Floresta
1301209,Coari,AM,Município de apoio ao turismo,Região Terras do Açaí
1301704,Humaitá,AM,Município com oferta turística complementar,Região Belezas do Rio Madeira
1301852,Iranduba,AM,Município com oferta turística complementar,Região Amazonas das Praias e Tradições
1301902,Itacoatiara,AM,Município de apoio ao turismo,Região Banzeiro do Pescador e da Canção
1302405,Lábrea,AM,Município de apoio ao turismo,Região Refúgios do Rio Purus
1302504,Manacapuru,AM,Município com oferta turística complementar,Região Amazonas das Praias e Tradições
1302553,Manaquiri,AM,Município de apoio ao turismo,Região Rota da Floresta
1302603,Manaus,AM,Município turístico,Região Capital da Amazônia
1302900,Maués,AM,Município de apoio ao turismo,Região da Ancestralidade e Ritmos do Amazonas
1303007,Nhamundá,AM,Município de apoio ao turismo,Região da Ancestralidade e Ritmos do Amazonas
1303205,Novo Airão,AM,Município com oferta turística complementar,Região Amazonas das Praias e Tradições
1303304,Novo Aripuanã,AM,Município de apoio ao turismo,Região Belezas do Rio Madeira
1303403,Parintins,AM,Município com oferta turística complementar,Região da Ancestralidade e Ritmos do Amazonas
1303536,Presidente Figueiredo,AM,Município com oferta turística complementar,Região das Cachoeiras e Sabores Amazônicos
1303569,Rio Preto da Eva,AM,Município com oferta turística complementar,Região das Cachoeiras e Sabores Amazônicos
1303601,Santa Isabel do Rio Negro,AM,Município de apoio ao turismo,Região Encantos do Rio Negro
1303809,São Gabriel da Cachoeira,AM,Município com oferta turística complementar,Região Encantos do Rio Negro
1303957,São Sebastião do Uatumã,AM,Município de apoio ao turismo,Região Banzeiro do Pescador e da Canção
1304062,Tabatinga,AM,Município com oferta turística complementar,Região Fronteiras do Amazonas
1304203,Tefé,AM,Município com oferta turística complementar,Região Castanha e Farinha do Amazonas
1304260,Uarini,AM,Município de apoio ao turismo,Região Castanha e Farinha do Amazonas
1600238,Ferreira Gomes,AP,Município de apoio ao turismo,Região Turística Tumucumaque e Cachoeiras
1600253,Itaubal,AP,Município de apoio ao turismo,
1600279,Laranjal do Jari,AP,Município de apoio ao turismo,Região Turística Vale do Jari
1600303,Macapá,AP,Município turístico,Região Turística Meio do Mundo
1600501,Oiapoque,AP,Município de apoio ao turismo,Região Turística Cabo Orange
1600154,Pedra Branca do Amaparí,AP,Município com oferta turística complementar,Região Turística Tumucumaque e Cachoeiras
1600535,Porto Grande,AP,Município de apoio ao turismo,Região Turística Tumucumaque e Cachoeiras
1600600,Santana,AP,Município de apoio ao turismo,Região Turística Meio do Mundo
1600709,Tartarugalzinho,AP,Município de apoio ao turismo,
1600808,Vitória do Jari,AP,Município com oferta turística complementar,Região Turística Vale do Jari
2900108,Abaíra,BA,Município de apoio ao turismo,Chapada Diamantina
2900702,Alagoinhas,BA,Município com oferta turística complementar,Caminhos do Sertão
2900900,Almadina,BA,Município de apoio ao turismo,Costa do Cacau
2901007,Amargosa,BA,Município com oferta turística complementar,Caminhos do Jiquiriçá
2901304,Andaraí,BA,Município com oferta turística complementar,Chapada Diamantina
2902252,Arataca,BA,Município de apoio ao turismo,Costa do Cacau
2902658,Banzaê,BA,Município de apoio ao turismo,Caminhos do Sertão
2902807,Barra da Estiva,BA,Município de apoio ao turismo,Chapada Diamantina
2902906,Barra do Choça,BA,Município de apoio ao turismo,Caminhos do Sudoeste
2903003,Barra do Mendes,BA,Município com oferta turística complementar,Chapada Diamantina
2903201,Barreiras,BA,Município com oferta turística complementar,Caminhos do Oeste
2903235,Barro Alto,BA,Município com oferta turística complementar,Chapada Diamantina
2903508,Belo Campo,BA,Município de apoio ao turismo,Caminhos do Sudoeste
2903706,Boa Nova,BA,Município de apoio ao turismo,Caminhos do Sudoeste
2903805,Boa Vista do Tupim,BA,Município de apoio ao turismo,Chapada Diamantina
2903904,Bom Jesus da Lapa,BA,Município com oferta turística complementar,Caminhos do Oeste
2904001,Boninal,BA,Município de apoio ao turismo,Chapada Diamantina
2904050,Bonito,BA,Município de apoio ao turismo,Chapada Diamantina
2904852,Cabaceiras do Paraguaçu,BA,Município de apoio ao turismo,
2904902,Cachoeira,BA,Município de apoio ao turismo,Baía de Todos os Santos
2905107,Caém,BA,Município de apoio ao turismo,Chapada Diamantina
2905206,Caetité,BA,Município com oferta turística complementar,Caminhos do Oeste
2905404,Cairu,BA,Município turístico,Costa do Dendê
2905701,Camaçari,BA,Município turístico,Costa dos Coqueiros
2905800,Camamu,BA,Município com oferta turística complementar,Costa do Dendê
2906006,Campo Formoso,BA,Município com oferta turística complementar,Chapada Diamantina
2906204,Canarana,BA,Município de apoio ao turismo,
2906303,Canavieiras,BA,Município de apoio ao turismo,Costa do Cacau
2906501,Candeias,BA,Município turístico,Baía de Todos os Santos
2907202,Casa Nova,BA,Município de apoio ao turismo,Vale do São Francisco
2907301,Castro Alves,BA,Município com oferta turística complementar,Caminhos do Jiquiriçá
2907608,Central,BA,Município de apoio ao turismo,Chapada Diamantina
2907905,Cipó,BA,Município com oferta turística complementar,Caminhos do Sertão
2908408,Conceição do Coité,BA,Município de apoio ao turismo,
2908606,Conde,BA,Município com oferta turística complementar,Costa dos Coqueiros
2909109,Coribe,BA,Município de apoio ao turismo,Caminhos do Oeste
2909307,Correntina,BA,Município com oferta turística complementar,Caminhos do Oeste
2909505,Cravolândia,BA,Município de apoio ao turismo,Caminhos do Jiquiriçá
2910057,Dias d'Ávila,BA,Município com oferta turística complementar,Costa dos Coqueiros
2910107,Dom Basílio,BA,Município de apoio ao turismo,Chapada Diamantina
2900504,Érico Cardoso,BA,Município de apoio ao turismo,Chapada Diamantina
2910602,Esplanada,BA,Município com oferta turística complementar,Costa dos Coqueiros
2910800,Feira de Santana,BA,Município turístico,Caminhos do Sertão
2911105,Formosa do Rio Preto,BA,Município com oferta turística complementar,Caminhos do Oeste
2911303,Gentio do Ouro,BA,Município de apoio ao turismo,Chapada Diamantina
2912202,Ibicoara,BA,Município com oferta turística complementar,Chapada Diamantina
2912400,Ibipeba,BA,Município de apoio ao turismo,Chapada Diamantina
2912608,Ibiquera,BA,Município de apoio ao turismo,
2913507,Iguaí,BA,Município com oferta turística complementar,Caminhos do Sudoeste
2913606,Ilhéus,BA,Município turístico,Costa do Cacau
2913903,Ipiaú,BA,Município com oferta turística complementar,Costa do Cacau
2914109,Ipupiara,BA,Município de apoio ao turismo,Chapada Diamantina
2914307,Iramaia,BA,Município de apoio ao turismo,Chapada Diamantina
2914406,Iraquara,BA,Município de apoio ao turismo,Chapada Diamantina
2914653,Itabela,BA,Município de apoio ao turismo,
2914703,Itaberaba,BA,Município com oferta turística complementar,Chapada Diamantina
2914802,Itabuna,BA,Município com oferta turística complementar,Costa do Cacau
2914901,Itacaré,BA,Município turístico,Costa do Cacau
2915007,Itaeté,BA,Município de apoio ao turismo,Chapada Diamantina
2916005,Itanhém,BA,Município de apoio ao turismo,Costa das Baleias
2916104,Itaparica,BA,Município com oferta turística complementar,Baía de Todos os Santos
2916203,Itapé,BA,Município de apoio ao turismo,Costa do Cacau
2916807,Itarantim,BA,Município de apoio ao turismo,
2917003,Itiúba,BA,Município de apoio ao turismo,
2917201,Ituaçu,BA,Município de apoio ao turismo,Chapada Diamantina
2917300,Ituberá,BA,Município com oferta turística complementar,Costa do Dendê
2917359,Jaborandi,BA,Município de apoio ao turismo,Caminhos do Oeste
2917508,Jacobina,BA,Município com oferta turística complementar,Chapada Diamantina
2917607,Jaguaquara,BA,Município com oferta turística complementar,Caminhos do Jiquiriçá
2917706,Jaguarari,BA,Município com oferta turística complementar,Chapada Diamantina
2917805,Jaguaripe,BA,Município de apoio ao turismo,Baía de Todos os Santos
2917904,Jandaíra,BA,Município com oferta turística complementar,Costa dos Coqueiros
2918001,Jequié,BA,Município turístico,Caminhos do Sudoeste
2918209,Jiquiriçá,BA,Município de apoio ao turismo,Caminhos do Jiquiriçá
2918407,Juazeiro,BA,Município turístico,Vale do São Francisco
2918506,Jussara,BA,Município de apoio ao turismo,
2918803,Laje,BA,Município de apoio ao turismo,Caminhos do Jiquiriçá
2919207,Lauro de Freitas,BA,Município turístico,Costa dos Coqueiros
2919306,Lençóis,BA,Município com oferta turística complementar,Chapada Diamantina
2919702,Macarani,BA,Município de apoio ao turismo,Caminhos do Sudoeste
2919926,Madre de Deus,BA,Município com oferta turística complementar,Baía de Todos os Santos
2920502,Maracás,BA,Município de apoio ao turismo,Caminhos do Sudoeste
2920601,Maragogipe,BA,Município de apoio ao turismo,Baía de Todos os Santos
2920700,Maraú,BA,Município com oferta turística complementar,Costa do Cacau
2920809,Marcionílio Souza,BA,Município de apoio ao turismo,Chapada Diamantina
2921005,Mata de São João,BA,Município turístico,Costa dos Coqueiros
2921203,Miguel Calmon,BA,Município de apoio ao turismo,Chapada Diamantina
2921401,Mirangaba,BA,Município de apoio ao turismo,Chapada Diamantina
2921708,Morro do Chapéu,BA,Município com oferta turística complementar,Chapada Diamantina
2921906,Mucugê,BA,Município com oferta turística complementar,Chapada Diamantina
2922102,Mundo Novo,BA,Município de apoio ao turismo,
2922201,Muniz Ferreira,BA,Município com oferta turística complementar,Baía de Todos os Santos
2922300,Muritiba,BA,Município com oferta turística complementar,Baía de Todos os Santos
2922409,Mutuípe,BA,Município de apoio ao turismo,Caminhos do Jiquiriçá
2922508,Nazaré,BA,Município com oferta turística complementar,Baía de Todos os Santos
2922607,Nilo Peçanha,BA,Município de apoio ao turismo,Costa do Dendê
2922706,Nova Canaã,BA,Município de apoio ao turismo,Caminhos do Sudoeste
2922854,Nova Redenção,BA,Município de apoio ao turismo,Chapada Diamantina
2923001,Nova Viçosa,BA,Município com oferta turística complementar,Costa das Baleias
2923209,Oliveira dos Brejinhos,BA,Município de apoio ao turismo,Chapada Diamantina
2923506,Palmeiras,BA,Município com oferta turística complementar,Chapada Diamantina
2924009,Paulo Afonso,BA,Município turístico,Lagos e Canyons do São Francisco
2924306,Piatã,BA,Município de apoio ao turismo,Chapada Diamantina
2924603,Pindobaçu,BA,Município com oferta turística complementar,Chapada Diamantina
2924678,Piraí do Norte,BA,Município de apoio ao turismo,Costa do Dendê
2925204,Pojuca,BA,Município com oferta turística complementar,Costa dos Coqueiros
2925931,Quixabeira,BA,Município com oferta turística complementar,Chapada Diamantina
2926301,Riachão do Jacuípe,BA,Município com oferta turística complementar,Caminhos do Sertão
2926509,Ribeira do Amparo,BA,Município de apoio ao turismo,Caminhos do Sertão
2926608,Ribeira do Pombal,BA,Município de apoio ao turismo,Caminhos do Sertão
2926707,Rio de Contas,BA,Município de apoio ao turismo,Chapada Diamantina
2927002,Rio Real,BA,Município de apoio ao turismo,
2927705,Santa Cruz Cabrália,BA,Município turístico,Costa do Descobrimento
2927903,Santa Inês,BA,Município com oferta turística complementar,Caminhos do Jiquiriçá
2928109,Santa Maria da Vitória,BA,Município de apoio ao turismo,Caminhos do Oeste
2928604,Santo Amaro,BA,Município com oferta turística complementar,Baía de Todos os Santos
2928802,Santo Estêvão,BA,Município com oferta turística complementar,
2928901,São Desidério,BA,Município com oferta turística complementar,Caminhos do Oeste
2929008,São Félix,BA,Município com oferta turística complementar,Baía de Todos os Santos
2929750,Saubara,BA,Município de apoio ao turismo,Baía de Todos os Santos
2929800,Saúde,BA,Município de apoio ao turismo,Chapada Diamantina
2929909,Seabra,BA,Município de apoio ao turismo,Chapada Diamantina
2930105,Senhor do Bonfim,BA,Município com oferta turística complementar,Chapada Diamantina
2930709,Simões Filho,BA,Município turístico,Baía de Todos os Santos
2930774,Sobradinho,BA,Município com oferta turística complementar,Vale do São Francisco
2930808,Souto Soares,BA,Município de apoio ao turismo,Chapada Diamantina
2931202,Taperoá,BA,Município com oferta turística complementar,Costa do Dendê
2931350,Teixeira de Freitas,BA,Município com oferta turística complementar,Costa das Baleias
2931905,Tucano,BA,Município de apoio ao turismo,Caminhos do Sertão
2932101,Ubaíra,BA,Município de apoio ao turismo,Caminhos do Jiquiriçá
2932408,Uibaí,BA,Município de apoio ao turismo,Chapada Diamantina
2932507,Una,BA,Município com oferta turística complementar,Costa do Cacau
2932804,Utinga,BA,Município de apoio ao turismo,Chapada Diamantina
2932903,Valença,BA,Município turístico,Costa do Dendê
2933208,Vera Cruz,BA,Município com oferta turística complementar,Baía de Todos os Santos
2933307,Vitória da Conquista,BA,Município turístico,Caminhos do Sudoeste
2933406,Wagner,BA,Município de apoio ao turismo,Chapada Diamantina
2933604,Xique-Xique,BA,Município com oferta turística complementar,Chapada Diamantina
2300200,Acaraú,CE,Município com oferta turística complementar,Rota Costa dos Ventos
2300309,Acopiara,CE,Município de apoio ao turismo,
2300408,Aiuaba,CE,Município de apoio ao turismo,
2300507,Alcântaras,CE,Município de apoio ao turismo,
2300606,Altaneira,CE,Município de apoio ao turismo,
2300705,Alto Santo,CE,Município com oferta turística complementar,Vale do Jaguaribe
2300754,Amontada,CE,Município com oferta turística complementar,Rota Costa dos Ventos
2300804,Antonina do Norte,CE,Município de apoio ao turismo,
2300903,Apuiarés,CE,Município de apoio ao turismo,
2301109,Aracati,CE,Município turístico,Rota das Falésias
2301406,Aratuba,CE,Município de apoio ao turismo,Rota Verde do Café
2301505,Arneiroz,CE,Município de apoio ao turismo,
2301604,Assaré,CE,Município de apoio ao turismo,
2301703,Aurora,CE,Município de apoio ao turismo,
2301851,Banabuiú,CE,Município de apoio ao turismo,Sertão Central
2301901,Barbalha,CE,Município com oferta turística complementar,Cariri
2302107,Baturité,CE,Município com oferta turística complementar,Rota Verde do Café
2302206,Beberibe,CE,Município com oferta turística complementar,Rota das Falésias
2302404,Boa Viagem,CE,Município de apoio ao turismo,
2302503,Brejo Santo,CE,Município de apoio ao turismo,
2302602,Camocim,CE,Município com oferta turística complementar,Rota das Emoções CE
2302701,Campos Sales,CE,Município com oferta turística complementar,
2302800,Canindé,CE,Município com oferta turística complementar,Sertão Central
2303105,Cariré,CE,Município de apoio ao turismo,
2303402,Carnaubal,CE,Município de apoio ao turismo,Mirante da Ibiapaba
2303501,Cascavel,CE,Município com oferta turística complementar,Rota das Falésias
2303600,Catarina,CE,Município de apoio ao turismo,
2303709,Caucaia,CE,Município turístico,Rota Costa dos Ventos
2303808,Cedro,CE,Município de apoio ao turismo,
2303931,Choró,CE,Município de apoio ao turismo,
2303956,Chorozinho,CE,Município de apoio ao turismo,
2304202,Crato,CE,Município com oferta turística complementar,Cariri
2304236,Croatá,CE,Município com oferta turística complementar,Mirante da Ibiapaba
2304251,Cruz,CE,Município turístico,Rota das Emoções CE
2304301,Farias Brito,CE,Município de apoio ao turismo,
2304459,Fortim,CE,Município com oferta turística complementar,Rota das Falésias
2304608,General Sampaio,CE,Município de apoio ao turismo,
2304905,Groaíras,CE,Município com oferta turística complementar,Vale do Acaraú
2305001,Guaraciaba do Norte,CE,Município com oferta turística complementar,Mirante da Ibiapaba
2305100,Guaramiranga,CE,Município com oferta turística complementar,Rota Verde do Café
2305233,Horizonte,CE,Município com oferta turística complementar,
2305308,Ibiapina,CE,Município com oferta turística complementar,Mirante da Ibiapaba
2305357,Icapuí,CE,Município com oferta turística complementar,Rota das Falésias
2305407,Icó,CE,Município com oferta turística complementar,Centro Sul/ Vale do Salgado
2305506,Iguatu,CE,Município de apoio ao turismo,
2305605,Independência,CE,Município de apoio ao turismo,
2305803,Ipu,CE,Município com oferta turística complementar,Mirante da Ibiapaba
2305902,Ipueiras,CE,Município de apoio ao turismo,
2306108,Irauçuba,CE,Município de apoio ao turismo,
2306207,Itaiçaba,CE,Município de apoio ao turismo,
2306306,Itapajé,CE,Município de apoio ao turismo,
2306405,Itapipoca,CE,Município com oferta turística complementar,Rota Costa dos Ventos
2306553,Itarema,CE,Município com oferta turística complementar,Rota Costa dos Ventos
2306603,Itatira,CE,Município de apoio ao turismo,Sertão Central
2306702,Jaguaretama,CE,Município de apoio ao turismo,Vale do Jaguaribe
2306801,Jaguaribara,CE,Município de apoio ao turismo,Vale do Jaguaribe
2306900,Jaguaribe,CE,Município com oferta turística complementar,Vale do Jaguaribe
2307106,Jardim,CE,Município de apoio ao turismo,
2307254,Jijoca de Jericoacoara,CE,Município turístico,Rota das Emoções CE
2307304,Juazeiro do Norte,CE,Município turístico,Cariri
2307403,Jucás,CE,Município de apoio ao turismo,Centro Sul/ Vale do Salgado
2307502,Lavras da Mangabeira,CE,Município de apoio ao turismo,
2307635,Madalena,CE,Município de apoio ao turismo,Sertão Central
2307650,Maracanaú,CE,Município com oferta turística complementar,Fortaleza
2307700,Maranguape,CE,Município com oferta turística complementar,
2307908,Martinópole,CE,Município de apoio ao turismo,
2308005,Massapê,CE,Município de apoio ao turismo,
2308203,Meruoca,CE,Município de apoio ao turismo,Vale do Acaraú
2308302,Milagres,CE,Município de apoio ao turismo,
2308351,Milhã,CE,Município de apoio ao turismo,
2308708,Morada Nova,CE,Município com oferta turística complementar,Vale do Jaguaribe
2308807,Moraújo,CE,Município de apoio ao turismo,
2309201,Nova Olinda,CE,Município de apoio ao turismo,Cariri
2309409,Novo Oriente,CE,Município de apoio ao turismo,
2309508,Orós,CE,Município de apoio ao turismo,
2309607,Pacajus,CE,Município com oferta turística complementar,Fortaleza
2309706,Pacatuba,CE,Município com oferta turística complementar,
2310001,Palhano,CE,Município de apoio ao turismo,Vale do Jaguaribe
2310100,Palmácia,CE,Município de apoio ao turismo,Rota Verde do Café
2310209,Paracuru,CE,Município com oferta turística complementar,Rota Costa dos Ventos
2310258,Paraipaba,CE,Município com oferta turística complementar,Rota Costa dos Ventos
2310308,Parambu,CE,Município de apoio ao turismo,
2310605,Penaforte,CE,Município de apoio ao turismo,
2310704,Pentecoste,CE,Município com oferta turística complementar,
2310852,Pindoretama,CE,Município com oferta turística complementar,Rota das Falésias
2310902,Piquet Carneiro,CE,Município de apoio ao turismo,
2311009,Poranga,CE,Município de apoio ao turismo,
2311108,Porteiras,CE,Município de apoio ao turismo,
2311207,Potengi,CE,Município de apoio ao turismo,
2311264,Quiterianópolis,CE,Município de apoio ao turismo,
2311306,Quixadá,CE,Município com oferta turística complementar,Sertão Central
2311355,Quixelô,CE,Município de apoio ao turismo,
2311405,Quixeramobim,CE,Município de apoio ao turismo,Sertão Central
2311603,Redenção,CE,Município de apoio ao turismo,
2311801,Russas,CE,Município com oferta turística complementar,Vale do Jaguaribe
2311900,Saboeiro,CE,Município de apoio ao turismo,
2311959,Salitre,CE,Município de apoio ao turismo,Cariri
2312106,Santana do Cariri,CE,Município de apoio ao turismo,
2312304,São Benedito,CE,Município com oferta turística complementar,Mirante da Ibiapaba
2312809,Senador Sá,CE,Município de apoio ao turismo,
2312908,Sobral,CE,Município turístico,Vale do Acaraú
2313005,Solonópole,CE,Município de apoio ao turismo,
2313104,Tabuleiro do Norte,CE,Município de apoio ao turismo,Vale do Jaguaribe
2313203,Tamboril,CE,Município de apoio ao turismo,
2313252,Tarrafas,CE,Município de apoio ao turismo,
2313302,Tauá,CE,Município de apoio ao turismo,
2313351,Tejuçuoca,CE,Município com oferta turística complementar,Sertão Central
2313401,Tianguá,CE,Município com oferta turística complementar,Mirante da Ibiapaba
2313609,Ubajara,CE,Município com oferta turística complementar,Mirante da Ibiapaba
2313955,Varjota,CE,Município de apoio ao turismo,Mirante da Ibiapaba
2314003,Várzea Alegre,CE,Município com oferta turística complementar,Cariri
5300108,Brasília,DF,Município turístico,"Brasília, Patrimônio Cultural da Humanidade"
3200102,Afonso Cláudio,ES,Município com oferta turística complementar,Montanhas Capixabas
3200201,Alegre,ES,Município com oferta turística complementar,Caparaó Capixaba
3200300,Alfredo Chaves,ES,Município com oferta turística complementar,Montanhas Capixabas
3200359,Alto Rio Novo,ES,Município de apoio ao turismo,Doce Pontões Capixaba
3200409,Anchieta,ES,Município turístico,Costa e Imigração
3200508,Apiacá,ES,Município com oferta turística complementar,Sul Capixaba dos Vales e Café
3200607,Aracruz,ES,Município turístico,Do Verde e das Águas
3200706,Atilio Vivacqua,ES,Município com oferta turística complementar,Sul Capixaba dos Vales e Café
3200805,Baixo Guandu,ES,Município com oferta turística complementar,Doce Pontões Capixaba
3200904,Barra de São Francisco,ES,Município com oferta turística complementar,"Caminhos do Café, Pedras e Cachoeiras - Noroeste Capixaba"
3201001,Boa Esperança,ES,Município de apoio ao turismo,
3201100,Bom Jesus do Norte,ES,Município com oferta turística complementar,Caparaó Capixaba
3201159,Brejetuba,ES,Município com oferta turística complementar,Montanhas Capixabas
3201209,Cachoeiro de Itapemirim,ES,Município turístico,Sul Capixaba dos Vales e Café
3201308,Cariacica,ES,Município turístico,Metropolitana
3201407,Castelo,ES,Município com oferta turística complementar,Montanhas Capixabas
3201506,Colatina,ES,Município turístico,Doce Pontões Capixaba
3201605,Conceição da Barra,ES,Município com oferta turística complementar,Do Verde e das Águas
3201704,Conceição do Castelo,ES,Município com oferta turística complementar,Montanhas Capixabas
3201803,Divino de São Lourenço,ES,Município com oferta turística complementar,Caparaó Capixaba
3201902,Domingos Martins,ES,Município com oferta turística complementar,Montanhas Capixabas
3202009,Dores do Rio Preto,ES,Município com oferta turística complementar,Caparaó Capixaba
3202207,Fundão,ES,Município com oferta turística complementar,Metropolitana
3202306,Guaçuí,ES,Município com oferta turística complementar,Caparaó Capixaba
3202405,Guarapari,ES,Município turístico,Metropolitana
3202454,Ibatiba,ES,Município turístico,Caparaó Capixaba
3202553,Ibitirama,ES,Município com oferta turística complementar,Caparaó Capixaba
3202603,Iconha,ES,Município com oferta turística complementar,Costa e Imigração
3202652,Irupi,ES,Município com oferta turística complementar,Caparaó Capixaba
3202702,Itaguaçu,ES,Município com oferta turística complementar,Imigrantes
3202801,Itapemirim,ES,Município turístico,Costa e Imigração
3202900,Itarana,ES,Município com oferta turística complementar,Imigrantes
3203007,Iúna,ES,Município com oferta turística complementar,Caparaó Capixaba
3203056,Jaguaré,ES,Município com oferta turística complementar,Do Verde e das Águas
3203106,Jerônimo Monteiro,ES,Município com oferta turística complementar,Caparaó Capixaba
3203130,João Neiva,ES,Município com oferta turística complementar,Imigrantes
3203304,Mantenópolis,ES,Município com oferta turística complementar,Doce Pontões Capixaba
3203320,Marataízes,ES,Município turístico,Costa e Imigração
3203346,Marechal Floriano,ES,Município com oferta turística complementar,Montanhas Capixabas
